一	1
倎	亻 见二 龷 八
倏	亻 2 夂 犬
倐	亻 2 夂 火
們	亻 門字旁 門字边
倒	亻 1 厶 土 刂
倓	亻 火 火
倔	亻 尸 出
倕	亻 3 十 龷 1
倖	亻 土 丷 干
倗	亻 月 月
倘	亻 尚字头 冂 口
候	亻 2 5 1 卧人 大
倚	亻 大 1 口 2
倛	亻 艹 三 八
倜	亻 周字框 土 口
倝	十 早 人
倞	亻 京
借	亻 龷 日
倠	亻 亻 隹字边
倡	亻 日 日
倢	亻 1 聿三 龰
倣	亻 方 攵
値	亻 十 目 6
倥	亻 宀 八 丅 1
倦	亻 丷 夫 5 6
倧	亻 宀 二 小
倨	亻 尸 十 口
倩	亻 龶 青字底
倪	亻 臼 儿
倫	亻 亼 冂 艹
倬	亻 卢字头 早
倭	亻 3 木 女
倮	亻 日 木
倯	亻 木 八 厶
倰	亻 土 八 夂
倱	亻 日 比字旁 匕
倲	亻 1 日 木无横
倳	亻 1 口 聿三 2
倴	亻 大 十 廾
倵	亻 二 止 6 4
倶	亻 目 1 八
倷	亻 大 二 小
倸	亻 爫 木
倹	亻 亼 口 人
债	亻 龶 见二 人
倻	亻 1 耳无一 阝
值	亻 十 见二 四横
倽	亻 全字头 干 口
倾	亻 比字旁 丆 见二 人
倿	亻 立无横 1 女
偀	亻 艹 见二 大
偁	亻 爫 冂 里无日
偂	亻 丷 1 青字底 刂
偃	亻 1 日 女 6
偄	亻 丆 冂 临字旁 大
偅	亻 千二 申 二
偆	亻 三 人 日
假	亻 叚右角 2 二 叚右角 又
偈	亻 日 勹 人 6
偉	亻 5 丄 口 牙二 2
偊	亻 3 口 禺字底
偋	亻 尸 丷 开
偌	亻 艹 左字框 口
偍	亻 日 定字底
偎	亻 田 1 6 水字边
偏	亻 4 尸 冂 艹
偐	亻 立无横 厂 彡
偑	亻 风省 3 口 虫无口
偒	亻 日 1 勹 横两撇
偓	亻 尸 1 厶 土
偔	亻 口 口 二 6
偕	亻 比字旁 匕 3 日
偖	亻 十 左字框 日
